id,category,title,period,tech,link,content,title_zh,period_zh,tech_zh,content_zh
proj-japanese-verb,Selected Project,Japanese Word Master — LangGraph Agent + Local RAG,May 2026 - Present,LangGraph + Node.js + PostgreSQL + sqlite-vec,https://japanese-verb-master.onrender.com,"Independent LangGraph-based Japanese-learning agent with hybrid retrieval. Combined vector and BM25 retrieval through RRF fusion, query rewriting, and LLM reranking; achieved MRR 0.977, NDCG@10 0.979, and recall@1 63/65. Built recall@k / MRR / NDCG / faithfulness / hallucination regression evaluation suites; a distance filter plus LLM gatekeeper reduced off-topic hallucination from 10.7% to 0%. Implemented a LangGraph Planner-Researcher-Tutor-Memory-Manager StateGraph with SSE traces, persisted run/task history, durable user memory, and sandbox policies for tools, tokens, and timeouts. Deployed a same-origin Vue + Express service on Render with Supabase PostgreSQL, isolated guest/account data, Cloudflare Turnstile and rate limits, browser-side LLM BYOK, server-verified OKX payments, and 112 passing backend tests.",KotobaFlow — LangGraph 智能体 + 本地 RAG,2026.05 - 至今,LangGraph + Node.js + PostgreSQL + sqlite-vec,基于 LangGraph 的独立日语学习智能体，具备混合检索能力。通过 RRF 融合向量与 BM25 检索，并加入查询改写和 LLM 重排，达到 MRR 0.977、NDCG@10 0.979 与 recall@1 63/65。构建 recall@k / MRR / NDCG / faithfulness / hallucination 回归评测集；用距离过滤加 LLM gatekeeper 将离题幻觉率从 10.7% 降至 0%。实现 LangGraph Planner → Researcher → Tutor → Memory Manager StateGraph，支持 SSE 轨迹、运行与任务历史持久化、长期用户记忆，以及工具、Token 和超时沙箱策略。在 Render 部署同源 Vue + Express 服务，使用 Supabase PostgreSQL 隔离游客与账号数据，接入 Cloudflare Turnstile 与限流、浏览器侧 LLM BYOK、服务端验证的 OKX 支付，后端通过 112 项测试。
proj-feishu-companion,Selected Project,Feishu AI Companion Bot — Go Agent + Layered Memory + Document RAG,Jun 2026 - Present,Go + LightRAG + MinerU + Feishu Open Platform + SwiftUI,https://github.com/yuaiccc/feishu-companion-bot,"A long-running personal AI agent on Feishu built in Go. Agent scheduling uses Function Calling with a context Planner for complex requests and an intent fast-path that skips unnecessary reasoning for casual chat; any dependency (LightRAG, CardKit, OCR, external agents) gracefully degrades to a local fallback. Three-tier memory: short-term session state, structured local JSON facts with semantic retrieval, and document knowledge via MinerU PDF parsing into LightRAG async entity-relation graph plus vector hybrid index with source citations; a rageval CLI measures retrieval quality and privacy boundaries. Engineering: Feishu WebSocket long connection with CardKit streaming cards, a native macOS SwiftUI Dynamic Island showing agent phase (understand / retrieve / tool / generate), Apple Vision OCR with content-addressed media store, and doctor / smoke / GitHub Actions CI for continuous verification. Tool ecosystem: DeerFlow and OpenClaw external-agent delegation, Feishu doc comments, message recall; GitHub pushes are translated into plain-language explanations grounded in persisted project abstracts, optionally enriched by Alibaba Open Code Review evidence.",飞书 AI 陪伴机器人 — Go Agent + 分层记忆 + 文档 RAG,2026.06 - 至今,Go + LightRAG + MinerU + 飞书开放平台 + SwiftUI,基于 Go 的长期运行个人 AI 智能体。Agent 调度采用 Function Calling 多工具编排，Planner 按需规划复杂请求、普通聊天走意图快速路径跳过不必要推理；LightRAG / CardKit / OCR / 外部 Agent 任一不可用时自动回退本地路径。三层记忆：短期会话状态、结构化本地 JSON 事实 + 语义检索、MinerU 解析 PDF 后由 LightRAG 异步抽取实体关系建立图谱 + 向量混合索引（回答附来源引用）；rageval CLI 做检索质量与隐私边界评测。工程：飞书 WebSocket 长连接 + CardKit 流式卡片、macOS 原生 SwiftUI 灵动岛展示 Agent 阶段（理解/检索/工具/生成）、Apple Vision OCR + 内容寻址媒体库、doctor 自检 / smoke 真实链路测试 / GitHub Actions CI。工具生态：DeerFlow / OpenClaw 外部 Agent 委派、飞书云文档评论、消息撤回；GitHub 推送先记忆项目背景再翻译成白话解释，可选接入 Alibaba Open Code Review 做后台代码审查证据。
proj-scene-text,Selected Project,Multilingual Scene Text Recognition System,Dec 2025 - Present,Python + PyTorch + Linux,,"End-to-end owner of a multilingual scene-text recognition pipeline. Cleaned and assembled a corpus of 1.13 million lines, fixed rendering bugs in open-source tooling, and generated more than 100,000 high-quality synthetic training samples. Converted large collections of small images into an LMDB dataset, pushed batch size to 768, and reduced validation time from hours to minutes. Reached 98.3% validation accuracy and solved recognition issues involving overlapping Traditional Chinese and Japanese characters.",多语种场景文字识别系统,2025.12 - 至今,Python + PyTorch + Linux,独立负责的多语种场景文字识别端到端项目。清洗并整理 113 万行语料库，修复开源工具的渲染 bug，生成 10 万余条高质量合成训练样本。将大规模小图转换为 LMDB 数据集，将 batch size 提升至 768，把验证时间从数小时压缩到数分钟。验证准确率达到 98.3%，解决了繁体中文与日文字符重叠的识别难题。
oss-arklab,Open Source,yuaiccc/ArkLab,,Python,https://arklab.onrender.com,"CLI-first local RAG evaluation and diagnosis workbench. Turns benchmark runs into reproducible engineering evidence: retrieval metrics, LLM-as-Judge hooks, trace files, failure pools, experiment summaries, and regression eval sets. Runs public benchmarks such as MultiHop-RAG and EnterpriseRAG-Bench, and evaluates real application targets like japanese-verb-master through API adapters.",yuaiccc/ArkLab,,Python,ArkLab 是一个 CLI 优先的本地 RAG 评测与诊断工作台，将 benchmark 运行转化为可复现的工程证据，包括检索指标、LLM-as-Judge 接口、轨迹文件、失败样本池、实验摘要和回归评测集。既能运行 MultiHop-RAG、EnterpriseRAG-Bench 等公开基准，也能通过 API 适配器评测 japanese-verb-master 等真实应用。
oss-japanese-verb,Open Source,yuaiccc/japanese-verb-master,,TypeScript,https://github.com/yuaiccc/japanese-verb-master,"Production-deployed Japanese-learning Agentic RAG system, v1.3.0 live on Render. LangGraph workflow (Planner → Researcher → Tutor → Memory Manager) combines vector and BM25 retrieval with RRF fusion and LLM reranking (MRR 0.977, recall@1 63/65). Dual abstain gate reduces off-topic hallucination to 0%. Supabase PostgreSQL for isolated guest/account data, Cloudflare Turnstile and rate limiting, browser-side LLM BYOK, and server-verified OKX payments. Backend covered by 112 tests.",yuaiccc/japanese-verb-master,,TypeScript,生产环境部署的日语学习 Agentic RAG 系统，v1.3.0 已上线 Render。LangGraph 工作流（Planner → Researcher → Tutor → Memory Manager）通过 RRF 融合与 LLM 重排组合向量与 BM25 检索（MRR 0.977、recall@1 63/65）。双重弃答闸门将离题幻觉率降至 0%。使用 Supabase PostgreSQL 隔离游客与账号数据、Cloudflare Turnstile 与限流、浏览器侧 LLM BYOK，以及服务端验证的 OKX 支付。后端由 112 项测试覆盖。
oss-feishu-companion,Open Source,yuaiccc/feishu-companion-bot,,Go,https://github.com/yuaiccc/feishu-companion-bot,"Go-based long-running Feishu AI agent with Function Calling scheduling, intent fast-path, and graceful degradation. Three-tier memory (session / local JSON facts / LightRAG document graph + vector hybrid index via MinerU PDF parsing). Feishu WebSocket + CardKit streaming, native macOS SwiftUI Dynamic Island, Apple Vision OCR, content-addressed media store. Ships doctor, smoke, rageval, and mediactl CLI tools with GitHub Actions CI.",yuaiccc/feishu-companion-bot,,Go,基于 Go 的长期运行飞书 AI 智能体，Function Calling 调度 + 意图快速路径 + 安全降级。三层记忆（会话/本地 JSON 事实/LightRAG 文档图谱 + 向量混合索引，MinerU 解析 PDF）。飞书 WebSocket + CardKit 流式卡片、macOS 原生 SwiftUI 灵动岛、Apple Vision OCR、内容寻址媒体库。附带 doctor / smoke / rageval / mediactl CLI 工具与 GitHub Actions CI。
oss-sillytavern,Open Source,SillyTavern/SillyTavern,,JavaScript,https://github.com/SillyTavern/SillyTavern,"Feature-rich local LLM frontend for advanced users, with multi-model API support, character cards, and an extensible plugin ecosystem. Contributed 21 merged pull requests focused on product polish and core experience improvements.",SillyTavern/SillyTavern,,JavaScript,SillyTavern 是面向高级用户的本地 LLM 前端，支持多模型 API、角色卡与可扩展插件生态。我已贡献 21 个合并 PR，主要聚焦产品细节和核心体验改进。
exp-hualan,Experience,Java Backend Intern — Henan Hualan Information Technology Group,Sep 2024 - Feb 2025,Java + Spring + MySQL + Linux + Postman + Swagger,,Joined RESTful API development and integration for an enterprise system. Ran automated interface testing and parameter validation with Postman and maintained Swagger API docs. Troubleshot backend errors through Linux server logs and wrote SQL to verify data consistency and clean up dirty data.,Java 后端实习生 — 河南华兰信息科技集团,2024.09 - 2025.02,Java + Spring + MySQL + Linux + Postman + Swagger,参与企业系统的 RESTful API 开发与接入。使用 Postman 完成接口自动化测试与参数校验，并维护 Swagger API 文档。通过 Linux 服务器日志排查后端故障，编写 SQL 校验数据一致性并清理脏数据。
exp-huashui,Experience,"Officer — Youth League Committee, Huashui Youth Office",Sep 2023 - Jun 2024,Python + Excel,,Consolidated class-attendance data across 22 schools. Automated cleaning with Python and analysis in Excel to produce a core data dashboard.,华水青工部干事 — 团委青年工作办公室,2023.09 - 2024.06,Python + Excel,汇总 22 所学校的班级考勤数据。使用 Python 自动化清洗、Excel 完成分析，产出核心数据看板。
edu-hdu,Education,Hangzhou Dianzi University (HDU) — Postgraduate incoming,Sep 2026 - (expected),,,"Incoming postgraduate at Hangzhou Dianzi University (HDU), Fall 2026 start.",杭州电子科技大学（HDU）— 拟入学硕士研究生,2026.09 -（预计）,,杭州电子科技大学（HDU）拟入学硕士研究生，2026 秋季入学。
